code,name,mhdi
1001,Aguascalientes,0.800165557
1002,Asientos,0.699479796
1003,Calvillo,0.72062606
1004,Cosío,0.732866895
1005,Jesús María,0.75069447
1006,Pabellón de Arteaga,0.773410478
1007,Rincón de Romos,0.749542898
1008,San José de Gracia,0.723527653
1009,Tepezalá,0.724432172
1010,El Llano,0.66954136
1011,San Francisco de los Romo,0.74768759
2001,Ensenada,0.782655763
2002,Mexicali,0.824228446
2003,Tecate,0.781877001
2004,Tijuana,0.797038601
2005,Playas de Rosarito,0.751288553
3001,Comondú,0.744578041
3002,Mulegé,0.714074039
3003,La Paz,0.804437222
3008,Los Cabos,0.782692542
3009,Loreto,0.695942615
4001,Calkiní,0.672303471
4002,Campeche,0.768911484
4003,Carmen,0.727039108
4004,Champotón,0.638761633
4005,Hecelchakán,0.672654995
4006,Hopelchén,0.599047196
4007,Palizada,0.659471743
4008,Tenabo,0.630984397
4009,Escárcega,0.62992075
4010,Calakmul,0.527841675
4011,Candelaria,0.600315574
5001,Abasolo,0.726236505
5002,Acuña,0.762642126
5003,Allende,0.746354316
5004,Arteaga,0.685815591
5005,Candela,0.700917167
5006,Castaños,0.771436394
5007,Cuatro Ciénegas,0.726819405
5008,Escobedo,0.71251279
5009,Francisco I. Madero,0.752716589
5010,Frontera,0.774619437
5011,General Cepeda,0.646410739
5012,Guerrero,0.674991169
5013,Hidalgo,0.700395238
5014,Jiménez,0.675549848
5015,Juárez,0.773101411
5016,Lamadrid,0.782163663
5017,Matamoros,0.744244995
5018,Monclova,0.808351455
5019,Morelos,0.724485628
5020,Múzquiz,0.746490199
5021,Nadadores,0.75645346
5022,Nava,0.752449664
5023,Ocampo,0.673719098
5024,Parras,0.763561323
5025,Piedras Negras,0.80006734
5026,Progreso,0.737796504
5027,Ramos Arizpe,0.779337371
5028,Sabinas,0.779865249
5029,Sacramento,0.766197247
5030,Saltillo,0.806155653
5031,San Buenaventura,0.798379068
5032,San Juan de Sabinas,0.80136358
5033,San Pedro,0.71702611
5034,Sierra Mojada,0.717495932
5035,Torreón,0.814647547
5036,Viesca,0.66558865
5037,Villa Unión,0.719856821
5038,Zaragoza,0.731007349
6001,Armería,0.666625878
6002,Colima,0.812693629
6003,Comala,0.696694273
6004,Coquimatlán,0.71625883
6005,Cuauhtémoc,0.819562959
6006,Ixtlahuacán,0.661075243
6007,Manzanillo,0.758592936
6008,Minatitlán,0.740524548
6009,Tecomán,0.694148162
6010,Villa de Álvarez,0.827725537
