X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE
-56.0930036752727,-15.6150000711535,1,1,Cuiaba,BRA-MGR,Mato Grosso,BR,Brazil,Provincial capital,540814,3,"500,000 to 999,999",0,0,UN_Data_2010_2020
-47.8977476573594,-15.7921109430588,2,2,Brasilia,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,2481272,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020
-49.2550016031605,-16.7270039245648,3,3,Goiania,BRA-GOI,Goias,BR,Brazil,Provincial capital,1297154,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020
-54.6159956592778,-20.4509970534418,4,4,Campo Grande,BRA-MGD,Mato Grosso do Sul,BR,Brazil,Provincial capital,776242,3,"500,000 to 999,999",0,0,UN_Data_2010_2020
-55.7479977164346,-22.5330030669473,5,5,Pedro Juan Caballero,PRY-AMM,Amambay,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-54.2833016846732,-24.0499980578648,6,6,Salto del Guaira,PRY-CNN,Canindeyu,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-54.6229976038596,-25.5269969722584,7,7,Puerto Presidente Stroessner,PRY-APA,Alto Parana,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-55.8510026890448,-27.3770010186671,8,8,Encarnacion,PRY-ITA,Itapua,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-55.9060016795821,-27.3979980817788,9,9,Posadas,ARG-MSN,Misiones,AR,Argentina,Provincial capital,371896,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
-69.191999562595,-12.6029970756788,10,10,Puerto Maldonado,PER-MDD,Madre de Dios,PE,Peru,Provincial capital,0,0, ,0,0, 
-71.98700367047,-13.5260010491837,11,11,Cuzco,PER-CUS,Cusco,PE,Peru,Provincial capital,428450,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
-72.8839975843797,-13.6420019499903,12,12,Abancay,PER-APR,Apurimac,PE,Peru,Provincial capital,0,0, ,0,0, 
-70.0340035875686,-15.845003988551,13,13,Puno,PER-PUN,Puno,PE,Peru,Provincial capital,128637,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
-71.5229995707925,-16.3980000700735,14,14,Arequipa,PER-ARQ,Arequipa,PE,Peru,Provincial capital,1080635,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020
-68.1462446098306,-16.4990069929844,15,15,La Paz,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,2143000,2,"1,000,000 to 4,999,999",0,1,UN_Habitat_2020
-176.151563636364,-13.2732990621432,16,16,Mata-Utu,WLF,Wallis & Futuna,WF,Wallis & Futuna,National and provincial capital,0,0, ,55650,0, 
-171.739493590236,-13.8370229528312,17,17,Apia,WSM,Samoa,WS,Samoa,National capital,37391,7,"Less than 50,000",55670,0,UN_Data_2010_2020
-170.697860669935,-14.2683749752899,18,18,Pago Pago,ASM,American Samoa,AQ,American Samoa,National and provincial capital,3656,7,"Less than 50,000",55680,0,UN_Data_2010_2020
-149.570009699675,-17.5349969205116,19,19,Papeete,PYF,French Polynesia,FP,French Polynesia,National and provincial capital,25763,7,"Less than 50,000",55840,0,UN_Data_2010_2020
-169.916669572892,-19.0166669421493,20,20,Alofi,NIU,Niue,NE,Niue,National and provincial capital,639,7,"Less than 50,000",55695,0,UN_Data_2010_2020
-175.245650649682,-21.1309020566411,21,21,Nuku' alofa,TON,Tonga,TN,Tonga,National capital,35184,7,"Less than 50,000",55590,0,UN_Data_2010_2020
-159.766694593311,-21.2333040067977,22,22,Avarua,COK,Cook Is.,CW,Cook Is.,National and provincial capital,0,0, ,0,0, 
-130.103000556447,-25.0659990487314,23,23,Adamstown,PCN,Pitcairn Is.,PC,Pitcairn Is.,National and provincial capital,49,7,"Less than 50,000",0,0,UN_Data_2010_2020
-72.7019996490552,-45.4020029326915,24,24,Puerto Aisen,CHL-ADG,Aisen del General Carlos Ibanez del Campo,CI,Chile,Provincial capital,0,0, ,0,0, 
